[I 2025-12-02 23:25:31,418] A new study created in memory with name: catboost_fold_1
[I 2025-12-02 23:33:37,068] Trial 1 finished with value: 0.160295415556542 and parameters: {'iterations': 600, 'learning_rate': 0.01711380421084256, 'depth': 3, 'l2_leaf_reg': 6.6961807735148895, 'border_count': 187, 'bagging_temperature': 0.8040407191773083, 'random_strength': 0.9659725471931772, 'scale_pos_weight': 5.032228952601119}. Best is trial 0 with value: 0.16466161710223665.
[I 2025-12-02 23:33:43,495] Trial 2 finished with value: 0.15773467325711363 and parameters: {'iterations': 200, 'learning_rate': 0.01156673437229484, 'depth': 3, 'l2_leaf_reg': 5.511648134370276, 'border_count': 209, 'bagging_temperature': 0.9946677619151638, 'random_strength': 0.3159081543654755, 'scale_pos_weight': 5.80400830512958}. Best is trial 0 with value: 0.16466161710223665.
[I 2025-12-02 23:34:00,169] Trial 3 finished with value: 0.14118421284403812 and parameters: {'iterations': 700, 'learning_rate': 0.0011640870066358818, 'depth': 3, 'l2_leaf_reg': 6.658364622092914, 'border_count': 219, 'bagging_temperature': 0.015399267315487908, 'random_strength': 0.2572316646543733, 'scale_pos_weight': 5.382873162016506}. Best is trial 0 with value: 0.16466161710223665.
[I 2025-12-02 23:34:13,839] Trial 4 finished with value: 0.15421190328617587 and parameters: {'iterations': 500, 'learning_rate': 0.007308386445377631, 'depth': 3, 'l2_leaf_reg': 6.1506627781786545, 'border_count': 241, 'bagging_temperature': 0.3990574656130419, 'random_strength': 0.634005581570746, 'scale_pos_weight': 5.584834684253293}. Best is trial 0 with value: 0.16466161710223665.
[I 2025-12-02 23:34:22,011] Trial 5 finished with value: 0.15586736743017857 and parameters: {'iterations': 300, 'learning_rate': 0.009320108289456792, 'depth': 3, 'l2_leaf_reg': 5.104268815202985, 'border_count': 222, 'bagging_temperature': 0.5561570629131678, 'random_strength': 0.016029967535611478, 'scale_pos_weight': 5.149071331295458}. Best is trial 0 with value: 0.16466161710223665.
[I 2025-12-02 23:34:42,350] Trial 6 finished with value: 0.14432356646268235 and parameters: {'iterations': 900, 'learning_rate': 0.0017570909678019774, 'depth': 3, 'l2_leaf_reg': 3.6886747541616605, 'border_count': 152, 'bagging_temperature': 0.1620887242132193, 'random_strength': 0.5313153024249541, 'scale_pos_weight': 5.614173609091867}. Best is trial 0 with value: 0.16466161710223665.
[I 2025-12-02 23:34:57,646] Trial 7 finished with value: 0.16239848103891416 and parameters: {'iterations': 600, 'learning_rate': 0.013809628235701185, 'depth': 3, 'l2_leaf_reg': 2.29961342295185, 'border_count': 239, 'bagging_temperature': 0.38295724535395037, 'random_strength': 0.3255857490580465, 'scale_pos_weight': 5.415042873487424}. Best is trial 0 with value: 0.16466161710223665.
[I 2025-12-02 23:35:25,623] Trial 8 finished with value: 0.15652399163271027 and parameters: {'iterations': 900, 'learning_rate': 0.017362768580883422, 'depth': 4, 'l2_leaf_reg': 9.111373536510644, 'border_count': 248, 'bagging_temperature': 0.9955011915431453, 'random_strength': 0.06554067140019593, 'scale_pos_weight': 5.076747144401613}. Best is trial 0 with value: 0.16466161710223665.
[I 2025-12-02 23:35:43,578] Trial 9 finished with value: 0.15507289627159745 and parameters: {'iterations': 800, 'learning_rate': 0.007000935832982586, 'depth': 3, 'l2_leaf_reg': 3.220048482486397, 'border_count': 159, 'bagging_temperature': 0.25806218690825466, 'random_strength': 0.6143507989611828, 'scale_pos_weight': 5.401517956904751}. Best is trial 0 with value: 0.16466161710223665.
[I 2025-12-02 23:35:51,750] Trial 10 finished with value: 0.14760053633621847 and parameters: {'iterations': 400, 'learning_rate': 0.014006331098837057, 'depth': 2, 'l2_leaf_reg': 9.906015941732587, 'border_count': 188, 'bagging_temperature': 0.61588864762847, 'random_strength': 0.7820441020916991, 'scale_pos_weight': 5.971157176661592}. Best is trial 0 with value: 0.16466161710223665.
