[I 2025-12-05 00:29:52,335] A new study created in memory with name: svc_fold_1
[I 2025-12-05 00:43:40,930] Trial 4 finished with value: 0.0429655352001759 and parameters: {'kernel': 'linear', 'C': 82.83094227143683}. Best is trial 2 with value: 0.061404186595701835.
[I 2025-12-05 00:43:48,491] Trial 5 finished with value: 0.04278084676350166 and parameters: {'kernel': 'linear', 'C': 86.40740986698287}. Best is trial 2 with value: 0.061404186595701835.
[I 2025-12-05 00:43:57,583] Trial 6 finished with value: 0.0567772940417867 and parameters: {'kernel': 'poly', 'C': 81.40048405934843}. Best is trial 2 with value: 0.061404186595701835.
[I 2025-12-05 00:44:12,295] Trial 7 finished with value: 0.09485647291649399 and parameters: {'kernel': 'sigmoid', 'C': 96.54273686017885}. Best is trial 7 with value: 0.09485647291649399.
[I 2025-12-05 00:44:20,425] Trial 8 finished with value: 0.04270199731178613 and parameters: {'kernel': 'linear', 'C': 75.16570125260381}. Best is trial 7 with value: 0.09485647291649399.
[I 2025-12-05 00:44:37,177] Trial 9 finished with value: 0.09480008096745171 and parameters: {'kernel': 'sigmoid', 'C': 95.4713671294155}. Best is trial 7 with value: 0.09485647291649399.
[I 2025-12-05 00:44:53,337] Trial 10 finished with value: 0.09449015861030827 and parameters: {'kernel': 'sigmoid', 'C': 70.30416478205827}. Best is trial 7 with value: 0.09485647291649399.
[I 2025-12-05 00:45:10,730] Trial 11 finished with value: 0.09484873872167957 and parameters: {'kernel': 'sigmoid', 'C': 99.59375219111453}. Best is trial 7 with value: 0.09485647291649399.
[I 2025-12-05 00:45:27,991] Trial 12 finished with value: 0.09492164444730736 and parameters: {'kernel': 'sigmoid', 'C': 99.30168888941458}. Best is trial 12 with value: 0.09492164444730736.
[I 2025-12-05 00:45:44,440] Trial 13 finished with value: 0.0948384752915004 and parameters: {'kernel': 'sigmoid', 'C': 99.97935094926093}. Best is trial 12 with value: 0.09492164444730736.
[I 2025-12-05 00:46:02,724] Trial 14 finished with value: 0.09495844692586622 and parameters: {'kernel': 'sigmoid', 'C': 92.09313830360938}. Best is trial 14 with value: 0.09495844692586622.
[I 2025-12-05 00:46:19,342] Trial 15 finished with value: 0.09494393566125271 and parameters: {'kernel': 'sigmoid', 'C': 92.08574029693253}. Best is trial 14 with value: 0.09495844692586622.
[I 2025-12-05 00:46:34,782] Trial 16 finished with value: 0.09481407102056949 and parameters: {'kernel': 'sigmoid', 'C': 91.85066206634507}. Best is trial 14 with value: 0.09495844692586622.
[I 2025-12-05 00:46:48,178] Trial 17 finished with value: 0.09492697773008166 and parameters: {'kernel': 'sigmoid', 'C': 78.92367615325986}. Best is trial 14 with value: 0.09495844692586622.
[I 2025-12-05 00:46:56,860] Trial 18 finished with value: 0.05813722270377695 and parameters: {'kernel': 'poly', 'C': 90.01400208385895}. Best is trial 14 with value: 0.09495844692586622.
[I 2025-12-05 00:47:09,981] Trial 19 finished with value: 0.09478275455461753 and parameters: {'kernel': 'sigmoid', 'C': 91.70420948478375}. Best is trial 14 with value: 0.09495844692586622.
[I 2025-12-05 00:47:26,262] Trial 20 finished with value: 0.09488587639064101 and parameters: {'kernel': 'sigmoid', 'C': 88.75740273173601}. Best is trial 14 with value: 0.09495844692586622.
[I 2025-12-05 00:47:41,598] Trial 21 finished with value: 0.09492106362985603 and parameters: {'kernel': 'sigmoid', 'C': 79.00528373761703}. Best is trial 14 with value: 0.09495844692586622.
[I 2025-12-05 00:47:55,822] Trial 22 finished with value: 0.09483640668177871 and parameters: {'kernel': 'sigmoid', 'C': 77.88280842205927}. Best is trial 14 with value: 0.09495844692586622.
[I 2025-12-05 00:48:11,867] Trial 23 finished with value: 0.09454518980688657 and parameters: {'kernel': 'sigmoid', 'C': 74.2370349843954}. Best is trial 14 with value: 0.09495844692586622.
