[I 2025-12-03 02:23:36,584] Trial 19 finished with value: 0.34370748791842154 and parameters: {'max_depth': 16, 'min_samples_split': 2, 'min_samples_leaf': 18, 'criterion': 'gini', 'max_features': 'log2', 'splitter': 'random'}. Best is trial 12 with value: 0.35359980828208143.
[I 2025-12-03 02:23:37,571] Trial 20 finished with value: 0.3427224988295669 and parameters: {'max_depth': 20, 'min_samples_split': 9, 'min_samples_leaf': 18, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'random'}. Best is trial 12 with value: 0.35359980828208143.
[I 2025-12-03 02:23:38,473] Trial 21 finished with value: 0.3420586967545086 and parameters: {'max_depth': 13, 'min_samples_split': 5, 'min_samples_leaf': 12, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'random'}. Best is trial 12 with value: 0.35359980828208143.
[I 2025-12-03 02:23:39,502] Trial 22 finished with value: 0.3505521645047623 and parameters: {'max_depth': 13, 'min_samples_split': 4, 'min_samples_leaf': 12, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'random'}. Best is trial 12 with value: 0.35359980828208143.
[I 2025-12-03 02:23:40,389] Trial 23 finished with value: 0.34998147724490525 and parameters: {'max_depth': 8, 'min_samples_split': 6, 'min_samples_leaf': 7, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'random'}. Best is trial 12 with value: 0.35359980828208143.
[I 2025-12-03 02:23:41,354] Trial 24 finished with value: 0.3467707194219598 and parameters: {'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 8, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'random'}. Best is trial 12 with value: 0.35359980828208143.
[I 2025-12-03 02:23:42,177] Trial 25 finished with value: 0.3434110288062039 and parameters: {'max_depth': 19, 'min_samples_split': 4, 'min_samples_leaf': 12, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 12 with value: 0.35359980828208143.
[I 2025-12-03 02:23:43,162] Trial 26 finished with value: 0.34521344637537027 and parameters: {'max_depth': 11, 'min_samples_split': 2, 'min_samples_leaf': 16, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'random'}. Best is trial 12 with value: 0.35359980828208143.
[I 2025-12-03 02:23:44,281] Trial 27 finished with value: 0.3379634894779329 and parameters: {'max_depth': 22, 'min_samples_split': 9, 'min_samples_leaf': 3, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'random'}. Best is trial 12 with value: 0.35359980828208143.
[I 2025-12-03 02:23:45,229] Trial 28 finished with value: 0.34500662441881413 and parameters: {'max_depth': 18, 'min_samples_split': 7, 'min_samples_leaf': 14, 'criterion': 'entropy', 'max_features': 'log2', 'splitter': 'random'}. Best is trial 12 with value: 0.35359980828208143.
[I 2025-12-03 02:23:46,112] Trial 29 finished with value: 0.3466174752381123 and parameters: {'max_depth': 14, 'min_samples_split': 4, 'min_samples_leaf': 19, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 12 with value: 0.35359980828208143.
[I 2025-12-03 02:23:47,682] A new study created in memory with name: decision_tree_fold_4
[I 2025-12-03 02:23:48,209] Trial 0 finished with value: 0.3466847246496107 and parameters: {'max_depth': 4, 'min_samples_split': 2, 'min_samples_leaf': 3, 'criterion': 'log_loss', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 0 with value: 0.3466847246496107.
[I 2025-12-03 02:23:51,500] Trial 1 finished with value: 0.3369075598554182 and parameters: {'max_depth': 16, 'min_samples_split': 18, 'min_samples_leaf': 3, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 0 with value: 0.3466847246496107.
[I 2025-12-03 02:23:54,127] Trial 2 finished with value: 0.3431521232710416 and parameters: {'max_depth': 11, 'min_samples_split': 19, 'min_samples_leaf': 20, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'best'}. Best is trial 0 with value: 0.3466847246496107.
[I 2025-12-03 02:23:55,005] Trial 3 finished with value: 0.34312712586811983 and parameters: {'max_depth': 24, 'min_samples_split': 5, 'min_samples_leaf': 6, 'criterion': 'log_loss', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 0 with value: 0.3466847246496107.
[I 2025-12-03 02:23:55,834] Trial 4 finished with value: 0.3433767445953647 and parameters: {'max_depth': 7, 'min_samples_split': 15, 'min_samples_leaf': 1, 'criterion': 'entropy', 'max_features': 'log2', 'splitter': 'random'}. Best is trial 0 with value: 0.3466847246496107.
[I 2025-12-03 02:23:56,672] Trial 5 finished with value: 0.34400552419523306 and parameters: {'max_depth': 28, 'min_samples_split': 13, 'min_samples_leaf': 20, 'criterion': 'log_loss', 'max_features': 'log2', 'splitter': 'random'}. Best is trial 0 with value: 0.3466847246496107.
[I 2025-12-03 02:23:57,647] Trial 6 finished with value: 0.34178238257688603 and parameters: {'max_depth': 29, 'min_samples_split': 10, 'min_samples_leaf': 12, 'criterion': 'gini', 'max_features': 'log2', 'splitter': 'best'}. Best is trial 0 with value: 0.3466847246496107.
[I 2025-12-03 02:23:58,646] Trial 7 finished with value: 0.34389559053223373 and parameters: {'max_depth': 31, 'min_samples_split': 19, 'min_samples_leaf': 13, 'criterion': 'entropy', 'max_features': None, 'splitter': 'random'}. Best is trial 0 with value: 0.3466847246496107.
[I 2025-12-03 02:23:59,707] Trial 8 finished with value: 0.34191712723061046 and parameters: {'max_depth': 23, 'min_samples_split': 17, 'min_samples_leaf': 12, 'criterion': 'log_loss', 'max_features': 'log2', 'splitter': 'best'}. Best is trial 0 with value: 0.3466847246496107.
[I 2025-12-03 02:24:02,106] Trial 9 finished with value: 0.341755146513855 and parameters: {'max_depth': 11, 'min_samples_split': 7, 'min_samples_leaf': 12, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 0 with value: 0.3466847246496107.
[I 2025-12-03 02:24:03,018] Trial 10 finished with value: 0.3499991114797163 and parameters: {'max_depth': 4, 'min_samples_split': 2, 'min_samples_leaf': 7, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 10 with value: 0.3499991114797163.
