[I 2025-12-03 20:16:11,480] Trial 19 finished with value: 0.37306856127868765 and parameters: {'n_estimators': 175, 'max_depth': 7, 'min_samples_split': 11, 'min_samples_leaf': 14, 'max_features': 'sqrt', 'criterion': 'gini', 'bootstrap': False}. Best is trial 6 with value: 0.3746462554874048.
[I 2025-12-03 20:16:20,170] Trial 20 finished with value: 0.3719391179370179 and parameters: {'n_estimators': 125, 'max_depth': 27, 'min_samples_split': 5, 'min_samples_leaf': 18, 'max_features': None, 'criterion': 'log_loss', 'bootstrap': True}. Best is trial 6 with value: 0.3746462554874048.
[I 2025-12-03 20:16:26,925] Trial 21 finished with value: 0.37323863049258976 and parameters: {'n_estimators': 100, 'max_depth': 29, 'min_samples_split': 2, 'min_samples_leaf': 20, 'max_features': None, 'criterion': 'log_loss', 'bootstrap': True}. Best is trial 6 with value: 0.3746462554874048.
[I 2025-12-03 20:16:33,924] Trial 22 finished with value: 0.37294507469527155 and parameters: {'n_estimators': 100, 'max_depth': 14, 'min_samples_split': 4, 'min_samples_leaf': 20, 'max_features': None, 'criterion': 'log_loss', 'bootstrap': True}. Best is trial 6 with value: 0.3746462554874048.
[I 2025-12-03 20:16:42,324] Trial 23 finished with value: 0.3722429551700674 and parameters: {'n_estimators': 125, 'max_depth': 29, 'min_samples_split': 3, 'min_samples_leaf': 18, 'max_features': None, 'criterion': 'log_loss', 'bootstrap': True}. Best is trial 6 with value: 0.3746462554874048.
[I 2025-12-03 20:16:49,163] Trial 24 finished with value: 0.3686666027815428 and parameters: {'n_estimators': 100, 'max_depth': 14, 'min_samples_split': 8, 'min_samples_leaf': 16, 'max_features': None, 'criterion': 'log_loss', 'bootstrap': True}. Best is trial 6 with value: 0.3746462554874048.
[I 2025-12-03 20:16:50,609] Trial 25 finished with value: 0.37170934110873544 and parameters: {'n_estimators': 150, 'max_depth': 23, 'min_samples_split': 14, 'min_samples_leaf': 20, 'max_features': 'log2', 'criterion': 'gini', 'bootstrap': True}. Best is trial 6 with value: 0.3746462554874048.
[I 2025-12-03 20:17:02,151] Trial 26 finished with value: 0.3531842343722701 and parameters: {'n_estimators': 125, 'max_depth': 8, 'min_samples_split': 10, 'min_samples_leaf': 14, 'max_features': None, 'criterion': 'log_loss', 'bootstrap': False}. Best is trial 6 with value: 0.3746462554874048.
[I 2025-12-03 20:17:17,199] Trial 27 finished with value: 0.37210330694169486 and parameters: {'n_estimators': 225, 'max_depth': 30, 'min_samples_split': 4, 'min_samples_leaf': 12, 'max_features': None, 'criterion': 'log_loss', 'bootstrap': True}. Best is trial 6 with value: 0.3746462554874048.
[I 2025-12-03 20:17:20,415] Trial 28 finished with value: 0.375507617471868 and parameters: {'n_estimators': 175, 'max_depth': 26, 'min_samples_split': 6, 'min_samples_leaf': 17, 'max_features': 'sqrt', 'criterion': 'entropy', 'bootstrap': False}. Best is trial 28 with value: 0.375507617471868.
