[I 2025-12-02 19:12:30,348] A new study created in memory with name: catboost_fold_1
[I 2025-12-02 19:30:23,882] Trial 28 finished with value: 0.3867331175888422 and parameters: {'iterations': 483, 'learning_rate': 0.02385491860690729, 'depth': 4, 'l2_leaf_reg': 1.7091010617834739, 'border_count': 173, 'bagging_temperature': 0.10449539348483182, 'random_strength': 0.5490392700301665}. Best is trial 4 with value: 0.3871359606121513.
[I 2025-12-02 19:37:09,520] Trial 29 finished with value: 0.38518582656272715 and parameters: {'iterations': 665, 'learning_rate': 0.01963439062362904, 'depth': 10, 'l2_leaf_reg': 1.337232808380131, 'border_count': 173, 'bagging_temperature': 0.10698397995403286, 'random_strength': 0.4651805728381482}. Best is trial 4 with value: 0.3871359606121513.
[I 2025-12-02 19:37:11,199] A new study created in memory with name: catboost_fold_2
[I 2025-12-02 19:37:29,410] Trial 0 finished with value: 0.3757124071049637 and parameters: {'iterations': 915, 'learning_rate': 0.17020628598904333, 'depth': 8, 'l2_leaf_reg': 7.8040885753030125, 'border_count': 61, 'bagging_temperature': 0.5325231692632864, 'random_strength': 0.49924257917147363}. Best is trial 0 with value: 0.3757124071049637.
[I 2025-12-02 19:38:14,142] Trial 1 finished with value: 0.3788261373863824 and parameters: {'iterations': 681, 'learning_rate': 0.16549214098886533, 'depth': 7, 'l2_leaf_reg': 4.120940589851234, 'border_count': 190, 'bagging_temperature': 0.9127085456587993, 'random_strength': 0.2958618498621206}. Best is trial 1 with value: 0.3788261373863824.
[I 2025-12-02 19:38:17,037] Trial 2 finished with value: 0.3844696155760481 and parameters: {'iterations': 136, 'learning_rate': 0.208343625870516, 'depth': 8, 'l2_leaf_reg': 6.502798149801515, 'border_count': 52, 'bagging_temperature': 0.8515928503889992, 'random_strength': 0.7057850576730264}. Best is trial 2 with value: 0.3844696155760481.
[I 2025-12-02 19:38:47,326] Trial 3 finished with value: 0.3771219111827611 and parameters: {'iterations': 443, 'learning_rate': 0.2800760027310018, 'depth': 9, 'l2_leaf_reg': 3.61099365417041, 'border_count': 86, 'bagging_temperature': 0.6260134241476913, 'random_strength': 0.0015954974013367984}. Best is trial 2 with value: 0.3844696155760481.
[I 2025-12-02 19:38:51,767] Trial 4 finished with value: 0.38947528500894946 and parameters: {'iterations': 827, 'learning_rate': 0.08687961233342213, 'depth': 4, 'l2_leaf_reg': 3.7399545856170926, 'border_count': 68, 'bagging_temperature': 0.5610555716625516, 'random_strength': 0.9367741420439282}. Best is trial 4 with value: 0.38947528500894946.
[I 2025-12-02 19:38:58,647] Trial 5 finished with value: 0.3863204958931278 and parameters: {'iterations': 310, 'learning_rate': 0.015352220455114383, 'depth': 7, 'l2_leaf_reg': 4.568337366352026, 'border_count': 71, 'bagging_temperature': 0.39873404328022843, 'random_strength': 0.7507480931255262}. Best is trial 4 with value: 0.38947528500894946.
[I 2025-12-02 19:39:02,515] Trial 6 finished with value: 0.3932743203259758 and parameters: {'iterations': 588, 'learning_rate': 0.1222634761691408, 'depth': 4, 'l2_leaf_reg': 8.217395006515275, 'border_count': 182, 'bagging_temperature': 0.8854580439503065, 'random_strength': 0.268148794511585}. Best is trial 6 with value: 0.3932743203259758.
[I 2025-12-02 19:41:29,694] Trial 7 finished with value: 0.39280623802773207 and parameters: {'iterations': 928, 'learning_rate': 0.027282516337646057, 'depth': 9, 'l2_leaf_reg': 6.09616424208221, 'border_count': 139, 'bagging_temperature': 0.779253811742714, 'random_strength': 0.22669019770946408}. Best is trial 6 with value: 0.3932743203259758.
[I 2025-12-02 19:43:39,201] Trial 8 finished with value: 0.3816628955534351 and parameters: {'iterations': 248, 'learning_rate': 0.19447930500871308, 'depth': 10, 'l2_leaf_reg': 9.807158098076888, 'border_count': 151, 'bagging_temperature': 0.7660889937150139, 'random_strength': 0.25353714071154687}. Best is trial 6 with value: 0.3932743203259758.
[I 2025-12-02 19:43:46,801] Trial 9 finished with value: 0.3881299519189779 and parameters: {'iterations': 181, 'learning_rate': 0.07149443768286955, 'depth': 7, 'l2_leaf_reg': 2.386519607869211, 'border_count': 122, 'bagging_temperature': 0.34457583243270884, 'random_strength': 0.9525966571988349}. Best is trial 6 with value: 0.3932743203259758.
