[I 2025-12-03 21:57:30,162] Trial 15 finished with value: 0.10071905093924267 and parameters: {'n_neighbors': 16, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 1, 'leaf_size': 27}. Best is trial 8 with value: 0.10088645695242975.
[I 2025-12-03 21:57:30,600] Trial 16 finished with value: 0.09698156605046643 and parameters: {'n_neighbors': 14, 'weights': 'distance', 'algorithm': 'brute', 'p': 1, 'leaf_size': 28}. Best is trial 8 with value: 0.10088645695242975.
[I 2025-12-03 21:57:31,039] Trial 17 finished with value: 0.10102383072572216 and parameters: {'n_neighbors': 16, 'weights': 'distance', 'algorithm': 'brute', 'p': 1, 'leaf_size': 33}. Best is trial 17 with value: 0.10102383072572216.
[I 2025-12-03 21:57:31,480] Trial 18 finished with value: 0.09312645449374546 and parameters: {'n_neighbors': 11, 'weights': 'distance', 'algorithm': 'brute', 'p': 1, 'leaf_size': 34}. Best is trial 17 with value: 0.10102383072572216.
[I 2025-12-03 21:57:31,936] Trial 19 finished with value: 0.10162282237407572 and parameters: {'n_neighbors': 17, 'weights': 'distance', 'algorithm': 'brute', 'p': 1, 'leaf_size': 34}. Best is trial 19 with value: 0.10162282237407572.
[I 2025-12-03 21:57:32,154] Trial 20 finished with value: 0.10454615128263697 and parameters: {'n_neighbors': 13, 'weights': 'distance', 'algorithm': 'brute', 'p': 2, 'leaf_size': 34}. Best is trial 20 with value: 0.10454615128263697.
[I 2025-12-03 21:57:32,372] Trial 21 finished with value: 0.10454615128263697 and parameters: {'n_neighbors': 13, 'weights': 'distance', 'algorithm': 'brute', 'p': 2, 'leaf_size': 35}. Best is trial 20 with value: 0.10454615128263697.
[I 2025-12-03 21:57:32,580] Trial 22 finished with value: 0.10454615128263697 and parameters: {'n_neighbors': 13, 'weights': 'distance', 'algorithm': 'brute', 'p': 2, 'leaf_size': 34}. Best is trial 20 with value: 0.10454615128263697.
[I 2025-12-03 21:57:32,783] Trial 23 finished with value: 0.0951621384024068 and parameters: {'n_neighbors': 9, 'weights': 'distance', 'algorithm': 'brute', 'p': 2, 'leaf_size': 35}. Best is trial 20 with value: 0.10454615128263697.
[I 2025-12-03 21:57:33,001] Trial 24 finished with value: 0.10454615128263697 and parameters: {'n_neighbors': 13, 'weights': 'distance', 'algorithm': 'brute', 'p': 2, 'leaf_size': 36}. Best is trial 20 with value: 0.10454615128263697.
[I 2025-12-03 21:57:33,217] Trial 25 finished with value: 0.10328721497634652 and parameters: {'n_neighbors': 12, 'weights': 'distance', 'algorithm': 'brute', 'p': 2, 'leaf_size': 40}. Best is trial 20 with value: 0.10454615128263697.
[I 2025-12-03 21:57:33,427] Trial 26 finished with value: 0.09579923437927974 and parameters: {'n_neighbors': 8, 'weights': 'distance', 'algorithm': 'brute', 'p': 2, 'leaf_size': 30}. Best is trial 20 with value: 0.10454615128263697.
[I 2025-12-03 21:57:33,644] Trial 27 finished with value: 0.10699927155777995 and parameters: {'n_neighbors': 14, 'weights': 'distance', 'algorithm': 'brute', 'p': 2, 'leaf_size': 30}. Best is trial 27 with value: 0.10699927155777995.
[I 2025-12-03 21:57:33,849] Trial 28 finished with value: 0.107884612074064 and parameters: {'n_neighbors': 15, 'weights': 'distance', 'algorithm': 'brute', 'p': 2, 'leaf_size': 30}. Best is trial 28 with value: 0.107884612074064.
[I 2025-12-03 21:57:38,115] Trial 29 finished with value: 0.1073795187209107 and parameters: {'n_neighbors': 15, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 29}. Best is trial 28 with value: 0.107884612074064.
[I 2025-12-03 21:57:38,801] A new study created in memory with name: k_nearest_neighbors_fold_3
