[I 2025-12-04 22:51:32,427] A new study created in memory with name: catboost_fold_1
[I 2025-12-04 23:36:10,180] Trial 5 finished with value: 0.37661312391381385 and parameters: {'iterations': 113, 'learning_rate': 0.007857575687178611}. Best is trial 0 with value: 0.3936299588933026.
[I 2025-12-04 23:36:14,984] Trial 6 finished with value: 0.38772005904312506 and parameters: {'iterations': 189, 'learning_rate': 0.04369340085038513}. Best is trial 0 with value: 0.3936299588933026.
[I 2025-12-04 23:36:43,813] Trial 7 finished with value: 0.3860427696627824 and parameters: {'iterations': 1225, 'learning_rate': 0.07662694030855868}. Best is trial 0 with value: 0.3936299588933026.
[I 2025-12-04 23:37:06,529] Trial 8 finished with value: 0.38875919537922665 and parameters: {'iterations': 972, 'learning_rate': 0.013123977858667184}. Best is trial 0 with value: 0.3936299588933026.
[I 2025-12-04 23:37:30,716] Trial 9 finished with value: 0.3936850244971418 and parameters: {'iterations': 1113, 'learning_rate': 0.02575153967531869}. Best is trial 9 with value: 0.3936850244971418.
[I 2025-12-04 23:37:49,454] Trial 10 finished with value: 0.3951095598194278 and parameters: {'iterations': 824, 'learning_rate': 0.039498941421332236}. Best is trial 10 with value: 0.3951095598194278.
[I 2025-12-04 23:38:08,882] Trial 11 finished with value: 0.3937136369791845 and parameters: {'iterations': 873, 'learning_rate': 0.037268404972999346}. Best is trial 10 with value: 0.3951095598194278.
[I 2025-12-04 23:38:25,750] Trial 12 finished with value: 0.3963850309910335 and parameters: {'iterations': 785, 'learning_rate': 0.044203608114445805}. Best is trial 12 with value: 0.3963850309910335.
[I 2025-12-04 23:38:40,346] Trial 13 finished with value: 0.3885894860352291 and parameters: {'iterations': 636, 'learning_rate': 0.07840735535510703}. Best is trial 12 with value: 0.3963850309910335.
[I 2025-12-04 23:38:53,221] Trial 14 finished with value: 0.39739734094074325 and parameters: {'iterations': 595, 'learning_rate': 0.054769168595924275}. Best is trial 14 with value: 0.39739734094074325.
[I 2025-12-04 23:39:05,381] Trial 15 finished with value: 0.3951216614485031 and parameters: {'iterations': 550, 'learning_rate': 0.05930746639847101}. Best is trial 14 with value: 0.39739734094074325.
[I 2025-12-04 23:39:20,614] Trial 16 finished with value: 0.39533741132922423 and parameters: {'iterations': 689, 'learning_rate': 0.05391293002576094}. Best is trial 14 with value: 0.39739734094074325.
[I 2025-12-04 23:39:30,518] Trial 17 finished with value: 0.39400831285459625 and parameters: {'iterations': 444, 'learning_rate': 0.09563233747539118}. Best is trial 14 with value: 0.39739734094074325.
[I 2025-12-04 23:39:54,083] Trial 18 finished with value: 0.3912626669071285 and parameters: {'iterations': 1045, 'learning_rate': 0.027884590598346946}. Best is trial 14 with value: 0.39739734094074325.
[I 2025-12-04 23:40:26,727] Trial 19 finished with value: 0.3934010275921506 and parameters: {'iterations': 1495, 'learning_rate': 0.03263248588657703}. Best is trial 14 with value: 0.39739734094074325.
[I 2025-12-04 23:40:43,571] Trial 20 finished with value: 0.3945087610670758 and parameters: {'iterations': 771, 'learning_rate': 0.052631281972564045}. Best is trial 14 with value: 0.39739734094074325.
[I 2025-12-04 23:40:59,341] Trial 21 finished with value: 0.39380801600152043 and parameters: {'iterations': 724, 'learning_rate': 0.059022040672141146}. Best is trial 14 with value: 0.39739734094074325.
[I 2025-12-04 23:41:09,935] Trial 22 finished with value: 0.3951659722233906 and parameters: {'iterations': 469, 'learning_rate': 0.04719553646574315}. Best is trial 14 with value: 0.39739734094074325.
[I 2025-12-04 23:41:26,057] Trial 23 finished with value: 0.3896332490956811 and parameters: {'iterations': 699, 'learning_rate': 0.07480599899260842}. Best is trial 14 with value: 0.39739734094074325.
[I 2025-12-04 23:41:36,378] Trial 24 finished with value: 0.38728438275778815 and parameters: {'iterations': 456, 'learning_rate': 0.021342311627430624}. Best is trial 14 with value: 0.39739734094074325.
