symbol	Oncogene	TSG
CNOT3	No	No
CNTNAP2	No	Yes
CNTNAP5	No	No
CNTRL	No	No
COA1	No	No
COA5	No	No
COG1	No	No
COG4	No	No
COG5	No	No
COG6	No	No
COG7	No	No
COG8	No	No
COL11A2	No	No
COL17A1	No	No
COL18A1	No	No
COL1A1	No	No
COL1A2	No	No
COL2A1	No	No
COL3A1	No	No
COL4A1	No	No
COL4A3	No	No
COL4A4	No	No
COL4A5	No	No
COL5A1	No	No
COL5A2	No	No
COL6A1	No	No
COL6A2	No	No
COL6A3	No	No
COL6A5	No	No
COL7A1	No	No
COL8A2	No	No
COL9A1	No	No
COL9A2	No	No
COL9A3	No	No
COLQ	No	No
COMP	No	No
COQ8A	No	No
COX1	No	No
COX10	No	No
COX15	No	No
COX2	No	No
COX3	No	No
COX4I2	No	No
COX6B1	No	No
COX6C	No	No
CPA6	No	No
CPEB3	No	Yes
CPOX	No	No
CPS1	No	No
CR2	No	No
CRB1	No	No
CRBN	No	No
CREB1	No	No
CREB3L1	No	No
CREB3L2	No	No
CREBBP	No	No
CRELD1	No	No
CREM	No	No
CRNKL1	No	No
CRTAP	No	No
CRTC3	No	No
CRX	No	No
CRYAA	No	No
CRYGC	No	No
CRYGD	No	No
CSDE1	No	No
CSF1	No	No
CSF1R	Yes	No
CSF2RA	No	No
CSMD3	No	Yes
CSNK1D	No	No
CSRP3	No	No
CST3	No	No
CSTB	No	No
CTC1	No	No
CTDP1	No	No
CTHRC1	No	No
CTLA4	No	No
CTNNA1	No	Yes
CTNNA2	Yes	No
CTNNB1	No	No
CTNND1	No	No
CTNND2	Yes	No
CTNS	No	No
CTSA	No	No
CTSC	No	No
CTSD	No	No
CTSK	No	No
CUBN	No	No
CUL3	No	Yes
CUL4B	No	No
CUX1	No	No
CX3CR1	No	No
CXCR1	No	No
CXCR2	No	No
CYB5A	No	No
CYB5R3	No	No
CYBB	No	No
CYCS	No	No
CYCSP42	No	No
CYLD	No	No
CYP11B1	No	No
CYP11B2	No	No
CYP17A1	No	No
CYP19A1	No	No
CYP1B1	No	No
CYP21A2	No	No
CYP24A1	No	No
CYP27A1	No	No
CYP27B1	No	No
CYP27C1	No	No
CYP2C8	No	No
CYP2R1	No	No
CYP4F22	No	No
CYP7B1	No	No
CYSLTR2	Yes	No
CYTB	No	No
DAB2	No	No
DAB2IP	No	No
DAGLA	No	No
DAP	No	No
DAZ1	No	No
DAZ2	No	No
DAZ3	No	No
DAZ4	No	No
DAZAP1	No	No
DBT	No	No
DCAF12L2	No	No
DCC	No	No
DCDC2	No	No
DCLRE1C	No	No
DCN	No	No
DCTN1	No	No
DCX	No	No
DDB2	No	No
DDIT3	No	No
DDR1	No	No
DDX10	No	No
DDX3Y	No	No
DDX6	No	No
DEK	No	No
DES	No	No
DGCR8	Yes	No
DHCR7	No	No
DHDDS	No	No
DHFR	No	No
DHFRP2	No	No
DHH	No	No
DHODH	No	No
DIAPH1	No	No
DIAPH2	No	No
DICER1	No	No
DIRC1	No	No
DKC1	No	No
DKK1	No	No
DKK2	No	No
DKK3	No	No
DKK4	No	No
DLD	No	No
DLEC1	No	No
DLG3	No	No
DLL3	No	No
DLX3	No	No
DMBT1	No	No
DMD	No	No
DMP1	No	No
DMPK	No	No
DNAAF1	No	No
DNAAF2	No	No
DNAAF4	No	No
DNAH11	No	No
DNAH5	No	No
DNAI1	No	No
DNAI2	No	No
DNAJB1	No	No
DNAJC19	No	No
DNAJC5	No	No
DNAL1	No	No
DNASE1	No	No
DNM2	No	No
DNMT1	No	No
DNMT3A	No	No
DNMT3B	No	No
DOCK8	No	No
DOK7	No	No
DOLK	No	No
DPAGT1	No	No
DPM1	No	No
DPP10	No	No
DPP4	No	No
DPP6	No	No
DPYD	No	No
DPYS	No	No
DRD2	No	No
DRD3	No	No
DROSHA	No	No
DSC2	No	No
DSG1	No	No
DSG2	No	No
DSG4	No	No
DSP	No	No
DSPP	No	No
DTNA	No	No
DTNBP1	No	No
DUOX2	No	No
DUOXA2	No	No
DUSP2	No	No
DUSP9	No	No
DYNC1H1	No	No
DYNC2H1	No	No
DYRK1A	No	No
DYSF	No	No
EBF1	No	No
EBP	No	No
ECM1	No	No
ECT2L	No	No
EDA	No	No
EDAR	No	No
EDARADD	No	No
EDIL3	No	No
EDN3	No	No
EDNRB	No	No
EED	No	Yes
EFEMP2	No	No
EFHC1	No	No
EGFR	No	No
EGLN1	No	No
EGR2	No	No
EHBP1	No	No
EHMT1	No	No
EIF1AX	No	No
EIF2AK3	No	No
EIF2B1	No	No
EIF2B2	No	No
EIF2B3	No	No
EIF2B4	No	No
EIF2B5	No	No
EIF3A	No	No
EIF3E	No	No
EIF4G1	No	No
ELAC2	No	No
ELANE	No	No
ELF3	No	Yes
ELF4	No	No
ELL	No	No
ELN	No	No
ELOC	No	No
ELOVL4	No	No
ELP1	No	No
ELP2	No	No
EMD	No	No
EML4	No	No
EMSY	No	No
EMX2	No	No
ENAM	No	No
ENG	No	No
ENPP1	No	No
EOMES	No	No
EP300	No	No
EPAS1	No	No
EPB41	No	No
EPB41L1	No	No
EPB42	No	No
EPCAM	No	No
EPHA3	No	No
EPHA4	No	No
EPHA5	No	No
EPHA7	No	No
EPHB2	No	No
EPM2A	No	No
EPO	No	No
EPOR	No	No
EPS15	No	No
ERAP1	No	No
