[I 2025-12-04 07:11:25,440] Trial 11 finished with value: 0.3519373805015091 and parameters: {'max_depth': 5, 'min_samples_split': 20, 'min_samples_leaf': 17, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 10 with value: 0.3530710684795701.
[I 2025-12-04 07:11:26,141] Trial 12 finished with value: 0.34811739878469733 and parameters: {'max_depth': 2, 'min_samples_split': 20, 'min_samples_leaf': 16, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 10 with value: 0.3530710684795701.
[I 2025-12-04 07:11:28,097] Trial 13 finished with value: 0.3515518814831392 and parameters: {'max_depth': 7, 'min_samples_split': 20, 'min_samples_leaf': 16, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 10 with value: 0.3530710684795701.
[I 2025-12-04 07:11:29,884] Trial 14 finished with value: 0.3536586816708588 and parameters: {'max_depth': 6, 'min_samples_split': 16, 'min_samples_leaf': 17, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 14 with value: 0.3536586816708588.
[I 2025-12-04 07:11:32,105] Trial 15 finished with value: 0.35256407993779276 and parameters: {'max_depth': 8, 'min_samples_split': 16, 'min_samples_leaf': 18, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 14 with value: 0.3536586816708588.
[I 2025-12-04 07:11:33,690] Trial 16 finished with value: 0.35192768307619404 and parameters: {'max_depth': 5, 'min_samples_split': 16, 'min_samples_leaf': 16, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 14 with value: 0.3536586816708588.
[I 2025-12-04 07:11:34,191] Trial 17 finished with value: 0.34698609714325934 and parameters: {'max_depth': 10, 'min_samples_split': 14, 'min_samples_leaf': 19, 'criterion': 'entropy', 'max_features': 'log2', 'splitter': 'best'}. Best is trial 14 with value: 0.3536586816708588.
[I 2025-12-04 07:11:35,522] Trial 18 finished with value: 0.35209914712203016 and parameters: {'max_depth': 6, 'min_samples_split': 18, 'min_samples_leaf': 17, 'criterion': 'gini', 'max_features': None, 'splitter': 'best'}. Best is trial 14 with value: 0.3536586816708588.
[I 2025-12-04 07:11:36,249] Trial 19 finished with value: 0.34811739878469733 and parameters: {'max_depth': 2, 'min_samples_split': 14, 'min_samples_leaf': 18, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 14 with value: 0.3536586816708588.
[I 2025-12-04 07:11:36,688] Trial 20 finished with value: 0.3459057138070687 and parameters: {'max_depth': 12, 'min_samples_split': 18, 'min_samples_leaf': 20, 'criterion': 'entropy', 'max_features': 'log2', 'splitter': 'best'}. Best is trial 14 with value: 0.3536586816708588.
[I 2025-12-04 07:11:39,139] Trial 21 finished with value: 0.350199159883226 and parameters: {'max_depth': 9, 'min_samples_split': 17, 'min_samples_leaf': 18, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 14 with value: 0.3536586816708588.
[I 2025-12-04 07:11:40,612] Trial 22 finished with value: 0.3513661213616976 and parameters: {'max_depth': 7, 'min_samples_split': 15, 'min_samples_leaf': 17, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 14 with value: 0.3536586816708588.
[I 2025-12-04 07:11:41,575] Trial 23 finished with value: 0.3549819061136187 and parameters: {'max_depth': 4, 'min_samples_split': 18, 'min_samples_leaf': 18, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 23 with value: 0.3549819061136187.
[I 2025-12-04 07:11:42,681] Trial 24 finished with value: 0.35454066828418257 and parameters: {'max_depth': 4, 'min_samples_split': 18, 'min_samples_leaf': 19, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 23 with value: 0.3549819061136187.
[I 2025-12-04 07:11:43,441] Trial 25 finished with value: 0.3527970518650598 and parameters: {'max_depth': 4, 'min_samples_split': 18, 'min_samples_leaf': 19, 'criterion': 'gini', 'max_features': None, 'splitter': 'best'}. Best is trial 23 with value: 0.3549819061136187.
[I 2025-12-04 07:11:45,432] Trial 26 finished with value: 0.344821275838216 and parameters: {'max_depth': 12, 'min_samples_split': 13, 'min_samples_leaf': 20, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 23 with value: 0.3549819061136187.
[I 2025-12-04 07:11:47,739] Trial 27 finished with value: 0.3440264948660192 and parameters: {'max_depth': 32, 'min_samples_split': 17, 'min_samples_leaf': 19, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 23 with value: 0.3549819061136187.
[I 2025-12-04 07:11:50,176] Trial 28 finished with value: 0.3442097432571284 and parameters: {'max_depth': 17, 'min_samples_split': 15, 'min_samples_leaf': 18, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 23 with value: 0.3549819061136187.
[I 2025-12-04 07:11:50,494] Trial 29 finished with value: 0.3470296720022056 and parameters: {'max_depth': 15, 'min_samples_split': 17, 'min_samples_leaf': 15, 'criterion': 'gini', 'max_features': 'log2', 'splitter': 'best'}. Best is trial 23 with value: 0.3549819061136187.
[I 2025-12-04 07:11:51,580] A new study created in memory with name: decision_tree_fold_3
[I 2025-12-04 07:11:51,653] Trial 0 finished with value: 0.35133883062022925 and parameters: {'max_depth': 30, 'min_samples_split': 18, 'min_samples_leaf': 18, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 0 with value: 0.35133883062022925.
