[I 2025-12-02 17:42:16,315] A new study created in memory with name: catboost_fold_1
[I 2025-12-02 17:45:02,767] Trial 15 finished with value: 0.39571380331030215 and parameters: {'iterations': 1000, 'learning_rate': 0.01703442464129196, 'depth': 4, 'l2_leaf_reg': 2.6128454721756604, 'border_count': 161, 'bagging_temperature': 0.7521272636593377, 'random_strength': 0.36031101619020456}. Best is trial 15 with value: 0.39571380331030215.
[I 2025-12-02 17:45:08,898] Trial 16 finished with value: 0.3921073024173724 and parameters: {'iterations': 1000, 'learning_rate': 0.005319170681025144, 'depth': 4, 'l2_leaf_reg': 2.425084836203628, 'border_count': 150, 'bagging_temperature': 0.8007127613677459, 'random_strength': 0.024507022435057646}. Best is trial 15 with value: 0.39571380331030215.
[I 2025-12-02 17:45:14,725] Trial 17 finished with value: 0.3931853871025731 and parameters: {'iterations': 1000, 'learning_rate': 0.016336039815545364, 'depth': 4, 'l2_leaf_reg': 4.800980309766027, 'border_count': 168, 'bagging_temperature': 0.826891163353329, 'random_strength': 0.3399097701502739}. Best is trial 15 with value: 0.39571380331030215.
[I 2025-12-02 17:45:20,790] Trial 18 finished with value: 0.3920946097747603 and parameters: {'iterations': 1000, 'learning_rate': 0.010177267091394342, 'depth': 4, 'l2_leaf_reg': 2.194223296529712, 'border_count': 171, 'bagging_temperature': 0.8106668558711967, 'random_strength': 0.595609302701125}. Best is trial 15 with value: 0.39571380331030215.
[I 2025-12-02 17:45:23,437] Trial 19 finished with value: 0.392924138545901 and parameters: {'iterations': 400, 'learning_rate': 0.016748949815913877, 'depth': 4, 'l2_leaf_reg': 2.5647029952834357, 'border_count': 150, 'bagging_temperature': 0.5795003597359727, 'random_strength': 0.29796836668861626}. Best is trial 15 with value: 0.39571380331030215.
[I 2025-12-02 17:45:29,090] Trial 20 finished with value: 0.39331642218903845 and parameters: {'iterations': 900, 'learning_rate': 0.0072093348930575354, 'depth': 4, 'l2_leaf_reg': 4.556286462795648, 'border_count': 200, 'bagging_temperature': 0.7239074909530117, 'random_strength': 0.020782002410084988}. Best is trial 15 with value: 0.39571380331030215.
[I 2025-12-02 17:45:34,628] Trial 21 finished with value: 0.39139529706659476 and parameters: {'iterations': 900, 'learning_rate': 0.0066630577564310445, 'depth': 4, 'l2_leaf_reg': 4.554117451457739, 'border_count': 198, 'bagging_temperature': 0.7463997123384443, 'random_strength': 0.0008602012593410639}. Best is trial 15 with value: 0.39571380331030215.
[I 2025-12-02 17:45:40,795] Trial 22 finished with value: 0.38663993096606186 and parameters: {'iterations': 1000, 'learning_rate': 0.004622211925617647, 'depth': 4, 'l2_leaf_reg': 5.990067051913826, 'border_count': 183, 'bagging_temperature': 0.8921129433692476, 'random_strength': 0.4032594185152195}. Best is trial 15 with value: 0.39571380331030215.
[I 2025-12-02 17:45:46,413] Trial 23 finished with value: 0.3920932553648349 and parameters: {'iterations': 900, 'learning_rate': 0.008594460394679595, 'depth': 4, 'l2_leaf_reg': 3.9823676161449466, 'border_count': 203, 'bagging_temperature': 0.6996991483264661, 'random_strength': 0.09431401630303918}. Best is trial 15 with value: 0.39571380331030215.
[I 2025-12-02 17:45:50,620] Trial 24 finished with value: 0.39124877334685576 and parameters: {'iterations': 700, 'learning_rate': 0.012010698507698628, 'depth': 4, 'l2_leaf_reg': 5.394182718069756, 'border_count': 161, 'bagging_temperature': 0.012566427659200241, 'random_strength': 0.25444711517947227}. Best is trial 15 with value: 0.39571380331030215.
[I 2025-12-02 17:45:55,576] Trial 25 finished with value: 0.38540837176167503 and parameters: {'iterations': 1000, 'learning_rate': 0.0035888567283101753, 'depth': 3, 'l2_leaf_reg': 2.6126168313653126, 'border_count': 183, 'bagging_temperature': 0.866745367682819, 'random_strength': 0.5884458933062401}. Best is trial 15 with value: 0.39571380331030215.
[I 2025-12-02 17:46:00,893] Trial 26 finished with value: 0.3907498840525394 and parameters: {'iterations': 800, 'learning_rate': 0.008504803160852172, 'depth': 4, 'l2_leaf_reg': 3.1316848791442595, 'border_count': 231, 'bagging_temperature': 0.5806017968256754, 'random_strength': 0.12200871387843984}. Best is trial 15 with value: 0.39571380331030215.
[I 2025-12-02 17:46:05,513] Trial 27 finished with value: 0.3894077958690132 and parameters: {'iterations': 700, 'learning_rate': 0.014560891317496197, 'depth': 4, 'l2_leaf_reg': 4.122506044709113, 'border_count': 208, 'bagging_temperature': 0.7506413663563843, 'random_strength': 0.7452862175980606}. Best is trial 15 with value: 0.39571380331030215.
[I 2025-12-02 17:46:10,025] Trial 28 finished with value: 0.38045460386902075 and parameters: {'iterations': 900, 'learning_rate': 0.0021402143645199104, 'depth': 3, 'l2_leaf_reg': 4.9427795466591835, 'border_count': 163, 'bagging_temperature': 0.6812011656017103, 'random_strength': 0.397943083058495}. Best is trial 15 with value: 0.39571380331030215.
[I 2025-12-02 17:46:14,420] Trial 29 finished with value: 0.3898779829938256 and parameters: {'iterations': 1000, 'learning_rate': 0.017844042515159805, 'depth': 2, 'l2_leaf_reg': 1.8798434663108141, 'border_count': 248, 'bagging_temperature': 0.8984939394107081, 'random_strength': 0.5315818064681221}. Best is trial 15 with value: 0.39571380331030215.
[I 2025-12-02 17:46:16,298] A new study created in memory with name: catboost_fold_3
[I 2025-12-02 17:46:21,196] Trial 0 finished with value: 0.3862476430748325 and parameters: {'iterations': 1000, 'learning_rate': 0.007240786826890075, 'depth': 3, 'l2_leaf_reg': 2.912700199729212, 'border_count': 186, 'bagging_temperature': 0.007422997503604312, 'random_strength': 0.3567415661846932}. Best is trial 0 with value: 0.3862476430748325.
[I 2025-12-02 17:46:25,742] Trial 1 finished with value: 0.38198520557138316 and parameters: {'iterations': 900, 'learning_rate': 0.005760830365234906, 'depth': 3, 'l2_leaf_reg': 5.544125198518832, 'border_count': 191, 'bagging_temperature': 0.1014686132387258, 'random_strength': 0.7553365847167677}. Best is trial 0 with value: 0.3862476430748325.
