[I 2025-11-27 04:47:04,902] A new study created in memory with name: decision_tree_fold_1
[I 2025-11-27 04:48:16,538] Trial 9 finished with value: 0.3350350005903103 and parameters: {'max_depth': 32, 'min_samples_split': 19}. Best is trial 0 with value: 0.34908939377053216.
[I 2025-11-27 04:48:16,833] Trial 10 finished with value: 0.3458602218351358 and parameters: {'max_depth': 2, 'min_samples_split': 30}. Best is trial 0 with value: 0.34908939377053216.
[I 2025-11-27 04:48:17,129] Trial 11 finished with value: 0.3458602218351358 and parameters: {'max_depth': 2, 'min_samples_split': 31}. Best is trial 0 with value: 0.34908939377053216.
[I 2025-11-27 04:48:17,425] Trial 12 finished with value: 0.3458602218351358 and parameters: {'max_depth': 2, 'min_samples_split': 25}. Best is trial 0 with value: 0.34908939377053216.
[I 2025-11-27 04:48:18,469] Trial 13 finished with value: 0.34399073426850524 and parameters: {'max_depth': 10, 'min_samples_split': 39}. Best is trial 0 with value: 0.34908939377053216.
[I 2025-11-27 04:48:19,446] Trial 14 finished with value: 0.34249621332159247 and parameters: {'max_depth': 9, 'min_samples_split': 25}. Best is trial 0 with value: 0.34908939377053216.
[I 2025-11-27 04:48:20,693] Trial 15 finished with value: 0.33923611114437635 and parameters: {'max_depth': 15, 'min_samples_split': 14}. Best is trial 0 with value: 0.34908939377053216.
[I 2025-11-27 04:48:21,420] Trial 16 finished with value: 0.34862118843254 and parameters: {'max_depth': 6, 'min_samples_split': 29}. Best is trial 0 with value: 0.34908939377053216.
[I 2025-11-27 04:48:22,658] Trial 17 finished with value: 0.34125807640925926 and parameters: {'max_depth': 16, 'min_samples_split': 42}. Best is trial 0 with value: 0.34908939377053216.
[I 2025-11-27 04:48:23,474] Trial 18 finished with value: 0.3475254195219388 and parameters: {'max_depth': 7, 'min_samples_split': 19}. Best is trial 0 with value: 0.34908939377053216.
[I 2025-11-27 04:48:24,725] Trial 19 finished with value: 0.338071963170774 and parameters: {'max_depth': 15, 'min_samples_split': 13}. Best is trial 0 with value: 0.34908939377053216.
[I 2025-11-27 04:48:25,453] Trial 20 finished with value: 0.349059665925283 and parameters: {'max_depth': 6, 'min_samples_split': 29}. Best is trial 0 with value: 0.34908939377053216.
[I 2025-11-27 04:48:26,357] Trial 21 finished with value: 0.34504303973851935 and parameters: {'max_depth': 8, 'min_samples_split': 30}. Best is trial 0 with value: 0.34908939377053216.
[I 2025-11-27 04:48:27,087] Trial 22 finished with value: 0.3488156750583064 and parameters: {'max_depth': 6, 'min_samples_split': 34}. Best is trial 0 with value: 0.34908939377053216.
[I 2025-11-27 04:48:28,264] Trial 23 finished with value: 0.3421426534920013 and parameters: {'max_depth': 13, 'min_samples_split': 36}. Best is trial 0 with value: 0.34908939377053216.
[I 2025-11-27 04:48:28,893] Trial 24 finished with value: 0.35033678214670627 and parameters: {'max_depth': 5, 'min_samples_split': 22}. Best is trial 24 with value: 0.35033678214670627.
[I 2025-11-27 04:48:30,189] Trial 25 finished with value: 0.33701009102873103 and parameters: {'max_depth': 19, 'min_samples_split': 23}. Best is trial 24 with value: 0.35033678214670627.
[I 2025-11-27 04:48:30,819] Trial 26 finished with value: 0.3503765153541132 and parameters: {'max_depth': 5, 'min_samples_split': 10}. Best is trial 26 with value: 0.3503765153541132.
[I 2025-11-27 04:48:31,448] Trial 27 finished with value: 0.35004091024987594 and parameters: {'max_depth': 5, 'min_samples_split': 9}. Best is trial 26 with value: 0.3503765153541132.
[I 2025-11-27 04:48:32,607] Trial 28 finished with value: 0.33919857719715696 and parameters: {'max_depth': 12, 'min_samples_split': 9}. Best is trial 26 with value: 0.3503765153541132.
[I 2025-11-27 04:48:33,019] Trial 29 finished with value: 0.3486853755704813 and parameters: {'max_depth': 3, 'min_samples_split': 3}. Best is trial 26 with value: 0.3503765153541132.
[I 2025-11-27 04:48:33,282] A new study created in memory with name: decision_tree_fold_4
[I 2025-11-27 04:48:34,599] Trial 0 finished with value: 0.33954773194076476 and parameters: {'max_depth': 33, 'min_samples_split': 22}. Best is trial 0 with value: 0.33954773194076476.
[I 2025-11-27 04:48:35,591] Trial 1 finished with value: 0.3494939629429567 and parameters: {'max_depth': 9, 'min_samples_split': 37}. Best is trial 1 with value: 0.3494939629429567.
[I 2025-11-27 04:48:36,960] Trial 2 finished with value: 0.3374051694503952 and parameters: {'max_depth': 40, 'min_samples_split': 17}. Best is trial 1 with value: 0.3494939629429567.
[I 2025-11-27 04:48:38,300] Trial 3 finished with value: 0.3379157232748956 and parameters: {'max_depth': 31, 'min_samples_split': 17}. Best is trial 1 with value: 0.3494939629429567.
[I 2025-11-27 04:48:39,633] Trial 4 finished with value: 0.341076575492825 and parameters: {'max_depth': 35, 'min_samples_split': 31}. Best is trial 1 with value: 0.3494939629429567.
[I 2025-11-27 04:48:40,961] Trial 5 finished with value: 0.33700455482342717 and parameters: {'max_depth': 24, 'min_samples_split': 9}. Best is trial 1 with value: 0.3494939629429567.
[I 2025-11-27 04:48:42,272] Trial 6 finished with value: 0.33995010690579414 and parameters: {'max_depth': 25, 'min_samples_split': 20}. Best is trial 1 with value: 0.3494939629429567.
[I 2025-11-27 04:48:43,506] Trial 7 finished with value: 0.3455843868825675 and parameters: {'max_depth': 18, 'min_samples_split': 43}. Best is trial 1 with value: 0.3494939629429567.
[I 2025-11-27 04:48:44,860] Trial 8 finished with value: 0.3381612544830778 and parameters: {'max_depth': 33, 'min_samples_split': 16}. Best is trial 1 with value: 0.3494939629429567.
[I 2025-11-27 04:48:46,138] Trial 9 finished with value: 0.34516600338387776 and parameters: {'max_depth': 28, 'min_samples_split': 49}. Best is trial 1 with value: 0.3494939629429567.
[I 2025-11-27 04:48:46,669] Trial 10 finished with value: 0.35335164223024307 and parameters: {'max_depth': 4, 'min_samples_split': 35}. Best is trial 10 with value: 0.35335164223024307.
[I 2025-11-27 04:48:47,199] Trial 11 finished with value: 0.35335164223024307 and parameters: {'max_depth': 4, 'min_samples_split': 33}. Best is trial 10 with value: 0.35335164223024307.
