"ENTREZID" "SYMBOL"
"292" "435" "ASL"
"293" "55065" "SLC52A1"
"294" "4935" "GPR143"
"295" "79803" "HPS6"
"296" "89781" "HPS4"
"297" "3242" "HPD"
"298" "1629" "DBT"
"299" "37" "ACADVL"
"300" "36" "ACADSB"
"301" "35" "ACADS"
"302" "27034" "ACAD8"
"303" "2109" "ETFB"
"304" "2108" "ETFA"
"305" "84062" "DTNBP1"
"306" "686" "BTD"
"307" "5092" "PCBD1"
"308" "6647" "SOD1"
"309" "57679" "ALS2"
"310" "2521" "FUS"
"311" "10133" "OPTN"
"312" "54822" "TRPM7"
"313" "9217" "VAPB"
"314" "55277" "FGGY"
"315" "1639" "DCTN1"
"316" "4744" "NEFH"
"317" "23064" "SETX"
"318" "9896" "FIG4"
"319" "6311" "ATXN2"
"320" "23435" "TARDBP"
"321" "7415" "VCP"
"322" "283" "ANG"
"323" "29978" "UBQLN2"
"324" "203228" "C9orf72"
"325" "212" "ALAS2"
"326" "7056" "THBD"
"327" "629" "CFB"
"328" "10661" "KLF1"
"329" "3426" "CFI"
"330" "6125" "RPL5"
"331" "6708" "SPTA1"
"332" "2038" "EPB42"
"333" "3040" "HBA2"
"334" "3043" "HBB"
"335" "7015" "TERT"
"336" "6165" "RPL35A"
"337" "2821" "GPI"
"338" "5277" "PIGA"
"339" "146059" "CDAN1"
"340" "22" "ABCB7"
"341" "50943" "FOXP3"
"342" "1719" "DHFR"
"343" "79728" "PALB2"
"344" "6204" "RPS10"
"345" "6223" "RPS19"
"346" "2035" "EPB41"
"347" "546" "ATRX"
"348" "6201" "RPS7"
"349" "2175" "FANCA"
"350" "2176" "FANCC"
"351" "2178" "FANCE"
"352" "6229" "RPS24"
"353" "4891" "SLC11A2"
"355" "2177" "FANCD2"
"356" "2623" "GATA1"
"357" "203" "AK1"
"358" "718" "C3"
"359" "10560" "SLC19A2"
"360" "2729" "GCLC"
"361" "55215" "FANCI"
"362" "6521" "SLC4A1"
"363" "2187" "FANCB"
"364" "3075" "CFH"
"365" "286" "ANK1"
"366" "2189" "FANCG"
"367" "81693" "AMN"
"368" "6710" "SPTB"
"369" "4683" "NBN"
"370" "10483" "SEC23B"
"371" "3039" "HBA1"
"372" "55120" "FANCL"
"373" "4179" "CD46"
"374" "51251" "NT5C3A"
"375" "6135" "RPL11"
"376" "164656" "TMPRSS6"
"377" "2539" "G6PD"
"378" "80324" "PUS1"
"379" "3098" "HK1"
"380" "3458" "IFNG"
"381" "6231" "RPS26"
"382" "81494" "CFHR5"
"383" "6218" "RPS17"
"384" "1281" "COL3A1"
"385" "59" "ACTA2"
"386" "4629" "MYH11"
"387" "4638" "MYLK"
"388" "147" "ADRA1B"
"389" "4055" "LTBR"
"390" "3837" "KPNB1"
"391" "391282" "RPL23AP12"
"393" "100271278" "RPL13AP14"
"394" "23046" "KIF21B"
"395" "10085" "EDIL3"
"396" "864" "RUNX3"
"397" "196527" "ANO6"
"398" "390283" "RPL31P10"
"399" "25949" "SYF2"
"400" "51752" "ERAP1"
"401" "9755" "TBKBP1"
"402" "10678" "B3GNT2"
"403" "149233" "IL23R"
"404" "267015" "HLA-S"
"405" "729816" "DHFRP2"
"406" "200728" "TMEM17"
"407" "400867" "LOC400867"
"408" "3759" "KCNJ2"
"409" "10060" "ABCC9"
"410" "10142" "AKAP9"
"411" "3753" "KCNE1"
"412" "10008" "KCNE3"
"413" "3757" "KCNH2"
"414" "9992" "KCNE2"
"415" "10021" "HCN4"
"416" "6640" "SNTA1"
"417" "859" "CAV3"
"418" "23171" "GPD1L"
"419" "287" "ANK2"
"420" "775" "CACNA1C"
"421" "3741" "KCNA5"
"422" "6324" "SCN1B"
"423" "55800" "SCN3B"
"424" "4624" "MYH6"
"425" "2702" "GJA5"
"426" "1804" "DPP6"
"427" "3784" "KCNQ1"
"428" "783" "CACNB2"
"429" "4878" "NPPA"
